ip,timestamp,request,status,bytes
132.106.170.193,09/Nov/2023:09:07:03 ,DELETE /perfil/item-54 HTTP/1.1,404,9369
178.135.46.24,17/Apr/2023:00:43:32 ,POST /login/item-27 HTTP/1.1,201,9622
135.179.153.199,09/Mar/2023:23:21:10 ,PUT /carrinho/item-16 HTTP/1.1,201,11716
159.88.15.124,10/Aug/2023:23:54:44 ,POST /perfil/item-23 HTTP/1.1,302,12469
122.219.115.243,24/May/2023:08:26:45 ,POST /checkout/item-50 HTTP/1.1,404,2387
79.234.103.171,19/Jun/2023:17:40:54 ,GET /carrinho/item-80 HTTP/1.1,201,2652
61.52.36.35,20/Jan/2023:15:10:39 ,POST /login/item-99 HTTP/1.1,404,5596
115.206.116.66,22/Nov/2023:22:13:06 ,POST /carrinho/item-79 HTTP/1.1,500,9755
151.46.237.225,06/May/2023:15:08:37 ,PUT /login/item-3 HTTP/1.1,500,6113
189.163.122.168,24/Aug/2023:19:57:23 ,POST /perfil/item-71 HTTP/1.1,404,6786
139.0.216.198,09/Nov/2023:21:47:57 ,DELETE /checkout/item-23 HTTP/1.1,404,13575
2.8.100.54,09/Jun/2023:06:03:12 ,POST /checkout/item-7 HTTP/1.1,201,2354
193.110.111.77,26/Jan/2023:09:09:52 ,PUT /produtos/item-84 HTTP/1.1,201,854
100.62.221.214,06/Oct/2023:06:42:54 ,POST /busca/item-73 HTTP/1.1,500,3008
119.91.15.210,06/Mar/2023:23:38:17 ,GET /perfil/item-59 HTTP/1.1,302,2906
78.89.82.72,22/Dec/2023:08:24:29 ,POST /produtos/item-29 HTTP/1.1,302,2648
157.36.91.221,14/Jan/2023:09:57:04 ,PUT /perfil/item-93 HTTP/1.1,404,5324
212.172.119.65,04/Aug/2023:00:55:44 ,GET /produtos/item-13 HTTP/1.1,201,3205
152.51.127.189,31/Dec/2023:12:48:00 ,DELETE /checkout/item-53 HTTP/1.1,404,3547
3.151.255.31,19/Sep/2023:11:29:05 ,DELETE /carrinho/item-38 HTTP/1.1,201,4939
203.236.165.1,22/Apr/2023:04:22:34 ,GET /carrinho/item-100 HTTP/1.1,500,6331
15.200.13.52,06/Sep/2023:05:54:51 ,POST /busca/item-64 HTTP/1.1,404,494
120.116.43.87,27/Sep/2023:09:08:58 ,POST /carrinho/item-40 HTTP/1.1,404,12987
103.236.129.23,28/May/2023:18:32:51 ,PUT /carrinho/item-54 HTTP/1.1,200,11035
211.133.187.220,06/Jul/2023:20:43:22 ,DELETE /carrinho/item-15 HTTP/1.1,201,9522
189.252.219.7,06/Oct/2023:07:07:03 ,POST /login/item-29 HTTP/1.1,200,7929
120.202.116.215,22/Feb/2023:02:55:20 ,DELETE /checkout/item-99 HTTP/1.1,200,4318
122.104.13.63,22/Nov/2023:07:38:53 ,PUT /perfil/item-14 HTTP/1.1,201,1955
74.72.83.39,19/Aug/2023:02:02:56 ,GET /login/item-26 HTTP/1.1,201,13927
182.83.181.83,18/Oct/2023:22:59:37 ,PUT /login/item-79 HTTP/1.1,500,12138
77.108.129.15,19/Sep/2023:05:34:09 ,POST /produtos/item-12 HTTP/1.1,200,703
55.245.75.39,22/May/2023:12:10:31 ,POST /produtos/item-48 HTTP/1.1,302,1990
111.75.232.41,04/Nov/2023:05:46:36 ,GET /perfil/item-5 HTTP/1.1,500,12268
69.58.105.152,14/Sep/2023:17:24:31 ,PUT /carrinho/item-13 HTTP/1.1,201,11589
55.57.165.204,01/Oct/2023:03:20:31 ,DELETE /carrinho/item-18 HTTP/1.1,200,596
3.14.244.4,18/Dec/2023:21:18:05 ,DELETE /busca/item-82 HTTP/1.1,200,7188
53.55.52.100,01/Aug/2023:15:29:31 ,PUT /busca/item-4 HTTP/1.1,500,382
90.143.201.179,18/Feb/2023:22:05:16 ,GET /login/item-45 HTTP/1.1,404,14669
35.154.251.142,25/Mar/2023:12:17:28 ,DELETE /perfil/item-15 HTTP/1.1,200,1407
128.153.199.134,15/Sep/2023:19:01:06 ,DELETE /carrinho/item-92 HTTP/1.1,302,12128
84.14.98.245,15/Sep/2023:11:15:18 ,GET /login/item-28 HTTP/1.1,500,12649
182.215.228.247,17/Jun/2023:02:58:49 ,GET /produtos/item-73 HTTP/1.1,201,12063
3.51.37.183,09/May/2023:15:05:41 ,PUT /produtos/item-2 HTTP/1.1,404,14764
183.57.10.43,23/Jan/2023:20:47:22 ,DELETE /checkout/item-49 HTTP/1.1,500,13810
