venda_id,data_venda,cliente_id,produto_id,quantidade,preco_total
50001,2023-02-27 03:22:00,1772,203,2,237.1
50002,2023-12-19 21:15:00,1478,207,4,2581.4
50003,2023-02-03 08:10:00,1385,111,3,42.33
50004,2023-10-31 11:53:00,1700,165,5,765.15
50005,2023-07-10 20:04:00,1778,173,5,2852.15
50006,2023-09-06 18:28:00,1583,279,3,535.83
50007,2023-08-31 22:53:00,1092,286,1,749.59
50008,2023-04-28 15:22:00,1351,246,5,4138.8
50009,2023-11-07 05:06:00,1356,255,1,658.88
50010,2023-07-26 03:12:00,1212,280,2,1751.4
50011,2023-08-04 19:28:00,1040,263,1,267.77
50012,2023-03-02 03:00:00,1052,154,3,2711.46
50013,2023-12-24 05:44:00,1978,241,1,919.23
50014,2023-02-14 12:33:00,1230,121,1,374.0
50015,2023-01-01 21:37:00,1556,195,2,1134.76
50016,2023-09-04 20:11:00,1569,118,1,25.74
50017,2023-07-11 16:45:00,1622,160,1,225.3
50018,2023-02-26 07:40:00,1191,251,5,4104.95
50019,2023-01-07 18:11:00,1982,262,1,610.64
50020,2023-07-18 02:11:00,1813,197,4,2476.08
50021,2023-04-05 09:09:00,1198,103,1,569.97
50022,2023-09-07 15:21:00,1572,212,1,499.55
50023,2023-06-12 07:17:00,1936,270,2,1179.9
50024,2023-08-13 21:25:00,1385,212,4,1998.2
50025,2023-03-21 19:30:00,1611,124,5,4791.85
50026,2023-03-10 14:30:00,1478,244,2,293.66
50027,2023-11-18 10:22:00,1423,261,4,2726.52
50028,2023-12-17 04:12:00,1572,121,3,1122.0
50029,2023-07-25 12:53:00,1280,246,5,4138.8
50030,2023-11-02 17:21:00,1600,135,1,251.45
50031,2023-03-31 13:39:00,1410,109,4,1687.32
50032,2023-06-23 23:12:00,1655,274,4,3389.32
50033,2023-12-05 00:53:00,1911,199,2,71.5
50034,2023-06-10 04:33:00,1592,250,4,1698.68
50035,2023-07-17 09:44:00,1438,105,2,901.38
50036,2023-01-29 22:46:00,1964,154,3,2711.46
50037,2023-12-01 23:53:00,1681,149,2,1922.32
50038,2023-11-02 19:42:00,1695,269,3,2817.78
50039,2023-01-19 15:23:00,1096,199,4,143.0
50040,2023-12-19 01:42:00,1798,158,5,4566.1
50041,2023-02-10 05:28:00,1864,150,5,1205.05
50042,2023-03-23 09:54:00,1398,237,5,857.25
50043,2023-06-02 21:47:00,1582,163,2,253.16
50044,2023-11-18 21:13:00,1260,288,1,974.68
50045,2023-08-22 13:28:00,1422,176,2,156.12
50046,2023-05-15 01:39:00,1544,187,2,563.9
50047,2023-08-04 03:34:00,1369,115,3,489.06
50048,2023-01-03 12:35:00,1364,274,5,4236.65
50049,2023-04-21 03:08:00,1232,101,1,164.02
50050,2023-05-02 00:41:00,1982,234,1,493.41
50051,2023-08-23 11:18:00,1484,183,4,59.68
50052,2023-08-21 22:37:00,1889,229,1,103.82
50053,2023-09-09 06:28:00,1309,283,1,394.64
50054,2023-01-17 07:40:00,1473,224,1,365.76
50055,2023-07-30 11:42:00,1997,176,4,312.24
50056,2023-02-04 04:50:00,1288,194,2,1943.48
50057,2023-02-16 02:21:00,1050,260,1,821.52
50058,2023-02-06 23:09:00,1407,283,5,1973.2
50059,2023-07-14 11:33:00,1539,222,2,1245.26
50060,2023-09-23 06:08:00,1901,173,5,2852.15
50061,2023-02-26 05:37:00,1199,157,3,155.34
50062,2023-04-22 01:05:00,1560,248,5,3355.75
50063,2023-05-23 01:30:00,1249,293,5,3827.75
50064,2023-06-22 18:00:00,1020,191,5,2581.05
50065,2023-11-28 22:32:00,1225,125,2,766.56
50066,2023-10-07 15:41:00,1294,249,5,2397.95
50067,2023-11-01 22:55:00,1949,263,3,803.31
50068,2023-10-16 18:31:00,1068,203,1,118.55
50069,2023-02-21 01:10:00,1142,170,5,2819.8
50070,2023-06-25 09:50:00,1884,157,3,155.34
50071,2023-04-27 03:11:00,1953,159,1,959.5
50072,2023-12-12 06:40:00,1625,170,5,2819.8
50073,2023-03-25 09:32:00,1120,226,5,3629.2
50074,2023-04-19 03:00:00,1297,299,4,1326.08
50075,2023-01-20 12:39:00,1398,158,3,2739.66
50076,2023-09-05 05:23:00,1891,120,5,4792.6
50077,2023-01-27 20:20:00,1974,177,3,154.62
50078,2023-03-25 08:43:00,1050,221,1,988.18
50079,2023-01-21 12:31:00,1471,197,2,1238.04
50080,2023-06-21 18:46:00,1813,226,5,3629.2
50081,2023-10-12 11:57:00,1393,124,2,1916.74
50082,2023-05-23 00:48:00,1142,264,4,1462.44
50083,2023-06-03 06:33:00,1055,250,3,1274.01
50084,2023-03-14 21:35:00,1241,249,2,959.18
50085,2023-04-02 05:28:00,1358,269,1,939.26
50086,2023-05-07 09:10:00,1772,127,1,185.43
50087,2023-05-12 16:49:00,1020,277,1,562.02
50088,2023-04-23 13:36:00,1700,126,5,2255.55
50089,2023-08-17 09:15:00,1655,149,4,3844.64
50090,2023-05-15 16:38:00,1671,197,3,1857.06
50091,2023-10-04 22:10:00,1353,283,3,1183.92
50092,2023-09-04 01:29:00,1358,130,4,1799.2
50093,2023-04-28 08:44:00,1684,284,2,358.28
50094,2023-10-04 15:00:00,1435,296,2,1485.8
50095,2023-04-28 02:46:00,1639,163,3,379.74
50096,2023-02-11 16:58:00,1307,124,1,958.37
50097,2023-09-11 07:06:00,1813,265,4,2882.64
50098,2023-05-14 12:31:00,1751,217,3,261.93
50099,2023-06-18 13:40:00,1145,207,5,3226.75
50100,2023-12-31 22:54:00,1827,165,1,153.03
50101,2023-09-16 23:11:00,1801,286,4,2998.36
50102,2023-03-05 12:43:00,1410,130,3,1349.4
50103,2023-05-22 22:26:00,1699,187,1,281.95
50104,2023-07-07 23:40:00,1976,293,4,3062.2
50105,2023-04-24 08:36:00,1255,104,1,170.52
50106,2023-06-24 08:24:00,1813,225,3,1944.12
50107,2023-08-26 11:56:00,1501,142,4,945.24
50108,2023-10-13 08:40:00,1035,160,2,450.6
50109,2023-10-29 15:12:00,1170,215,5,1161.85
50110,2023-05-22 04:25:00,1037,260,2,1643.04
50111,2023-09-19 04:55:00,1286,267,2,1019.66
50112,2023-12-16 11:09:00,1192,261,3,2044.89
50113,2023-07-14 06:50:00,1972,241,4,3676.92
50114,2023-03-07 11:03:00,1739,196,2,1777.68
50115,2023-07-06 04:48:00,1514,113,2,246.18
50116,2023-08-08 05:39:00,1476,194,4,3886.96
50117,2023-04-29 15:25:00,1708,174,4,2159.68
